Lake;Experiment;Sampling;Exp_day;Sampling_day;Sampling_month;Enclosure;Treatment;Replicate;Zooplankton_group;Taxa;Biomass
Erk;2;6;28;11;9;5;S;2;Rotifers;Kellicottia;0
Erk;2;6;28;11;9;5;S;2;Rotifers;Keratella;0.12130096
Erk;2;6;28;11;9;5;S;2;Rotifers;Synchaeta;0.1825346
Erk;2;6;28;11;9;5;S;2;Rotifers;Monostyla;0
Erk;2;6;28;11;9;5;S;2;Rotifers;Trichocerca;0
Erk;2;6;28;11;9;5;S;2;Rotifers;Filinia;0
Erk;2;6;28;11;9;6;FS;2;Copepods;Nauplii;5.43548349984334
Erk;2;6;28;11;9;6;FS;2;Copepods;Copepodite;0
Erk;2;6;28;11;9;6;FS;2;Cladocerans;Ceriodaphnia;0
Erk;2;6;28;11;9;6;FS;2;Cyclopoid copepods;Thermocyclops;97.1349738907786
Erk;2;6;28;11;9;6;FS;2;Cladocerans;Daphnia;0
Erk;2;6;28;11;9;6;FS;2;Cyclopoid copepods;Mesocyclops;301.368896769151
Erk;2;6;28;11;9;6;FS;2;Cyclopoid copepods;Diacyclops;0
Erk;2;6;28;11;9;6;FS;2;Calanoid copepods;Eudiaptomus;0
Erk;2;6;28;11;9;6;FS;2;Cladocerans;Chydorus;0
Erk;2;6;28;11;9;6;FS;2;Rotifers;Polyarthra;0.09834496
Erk;2;6;28;11;9;6;FS;2;Rotifers;Kellicottia;0
Erk;2;6;28;11;9;6;FS;2;Rotifers;Keratella;0.48520384
Erk;2;6;28;11;9;6;FS;2;Rotifers;Synchaeta;0.0912673
Erk;2;6;28;11;9;6;FS;2;Rotifers;Monostyla;0
Erk;2;6;28;11;9;6;FS;2;Rotifers;Trichocerca;0.2156544
Erk;2;6;28;11;9;6;FS;2;Rotifers;Filinia;0
Erk;2;6;28;11;9;7;C;2;Copepods;Nauplii;9.96505308304612
Erk;2;6;28;11;9;7;C;2;Copepods;Copepodite;43.8494686014106
Erk;2;6;28;11;9;7;C;2;Cladocerans;Ceriodaphnia;11.9468940002403
Erk;2;6;28;11;9;7;C;2;Cyclopoid copepods;Thermocyclops;95.3862339068167
Erk;2;6;28;11;9;7;C;2;Cladocerans;Daphnia;125.094378946574
Erk;2;6;28;11;9;7;C;2;Cyclopoid copepods;Mesocyclops;61.3768601479515
Erk;2;6;28;11;9;7;C;2;Cyclopoid copepods;Diacyclops;0
Erk;2;6;28;11;9;7;C;2;Calanoid copepods;Eudiaptomus;428.315519014211
Erk;2;6;28;11;9;7;C;2;Cladocerans;Chydorus;0
Erk;2;6;28;11;9;7;C;2;Rotifers;Polyarthra;0.34420736
Erk;2;6;28;11;9;7;C;2;Rotifers;Kellicottia;0.04102893
Erk;2;6;28;11;9;7;C;2;Rotifers;Keratella;0
Erk;2;6;28;11;9;7;C;2;Rotifers;Synchaeta;0.0912673
Erk;2;6;28;11;9;7;C;2;Rotifers;Monostyla;0
Erk;2;6;28;11;9;7;C;2;Rotifers;Trichocerca;0
Erk;2;6;28;11;9;7;C;2;Rotifers;Filinia;0
Erk;2;6;28;11;9;8;F;2;Copepods;Nauplii;8.60618220808528
Erk;2;6;28;11;9;8;F;2;Copepods;Copepodite;25.0568392008061
Erk;2;6;28;11;9;8;F;2;Cladocerans;Ceriodaphnia;0
Erk;2;6;28;11;9;8;F;2;Cyclopoid copepods;Thermocyclops;0
Erk;2;6;28;11;9;8;F;2;Cladocerans;Daphnia;0
Erk;2;6;28;11;9;8;F;2;Cyclopoid copepods;Mesocyclops;93.8216648321433
Erk;2;6;28;11;9;8;F;2;Cyclopoid copepods;Diacyclops;0
Erk;2;6;28;11;9;8;F;2;Calanoid copepods;Eudiaptomus;147.326447219274
Erk;2;6;28;11;9;8;F;2;Cladocerans;Chydorus;0
Erk;2;6;28;11;9;8;F;2;Rotifers;Polyarthra;0.14751744
Erk;2;6;28;11;9;8;F;2;Rotifers;Kellicottia;0
Erk;2;6;28;11;9;8;F;2;Rotifers;Keratella;0.97040768
Erk;2;6;28;11;9;8;F;2;Rotifers;Synchaeta;0
Erk;2;6;28;11;9;8;F;2;Rotifers;Monostyla;0
Erk;2;6;28;11;9;8;F;2;Rotifers;Trichocerca;0.2156544
Erk;2;6;28;11;9;8;F;2;Rotifers;Filinia;0
Erk;2;6;28;11;9;9;FS;3;Copepods;Nauplii;13.1357517912881
Erk;2;6;28;11;9;9;FS;3;Copepods;Copepodite;31.3210490010076
Erk;2;6;28;11;9;9;FS;3;Cladocerans;Ceriodaphnia;19.230827611523
Erk;2;6;28;11;9;9;FS;3;Cyclopoid copepods;Thermocyclops;56.935423970592
Erk;2;6;28;11;9;9;FS;3;Cladocerans;Daphnia;0
Erk;2;6;28;11;9;9;FS;3;Cyclopoid copepods;Mesocyclops;74.2064296784836
Erk;2;6;28;11;9;9;FS;3;Cyclopoid copepods;Diacyclops;0
Erk;2;6;28;11;9;9;FS;3;Calanoid copepods;Eudiaptomus;219.884847988903
Erk;2;6;28;11;9;9;FS;3;Cladocerans;Chydorus;0
Erk;2;6;28;11;9;9;FS;3;Cladocerans;Diaphanosoma;2.31332715788014
Erk;2;6;28;11;9;9;FS;3;Rotifers;Polyarthra;0.2458624
Erk;2;6;28;11;9;9;FS;3;Rotifers;Kellicottia;0
Erk;2;6;28;11;9;9;FS;3;Rotifers;Keratella;0.24260192
Erk;2;6;28;11;9;9;FS;3;Rotifers;Synchaeta;0.1825346
Erk;2;6;28;11;9;9;FS;3;Rotifers;Monostyla;0
Erk;2;6;28;11;9;9;FS;3;Rotifers;Trichocerca;0
Erk;2;6;28;11;9;9;FS;3;Rotifers;Filinia;0
Erk;2;6;28;11;9;10;C;3;Copepods;Nauplii;19.477149207772
Erk;2;6;28;11;9;10;C;3;Copepods;Copepodite;25.0568392008061
Erk;2;6;28;11;9;10;C;3;Cladocerans;Ceriodaphnia;6.50850445927896
Erk;2;6;28;11;9;10;C;3;Cyclopoid copepods;Thermocyclops;63.5950966125991
Erk;2;6;28;11;9;10;C;3;Cladocerans;Daphnia;230.657801219061
Erk;2;6;28;11;9;10;C;3;Cyclopoid copepods;Mesocyclops;0
Erk;2;6;28;11;9;10;C;3;Cyclopoid copepods;Diacyclops;0
Erk;2;6;28;11;9;10;C;3;Calanoid copepods;Eudiaptomus;139.754369423836
Erk;2;6;28;11;9;10;C;3;Cladocerans;Chydorus;0
Erk;2;6;28;11;9;10;C;3;Cladocerans;Diaphanosoma;0
Erk;2;6;28;11;9;10;C;3;Cladocerans;Small cladoceran;11.8461028505434
Erk;2;6;28;11;9;10;C;3;Rotifers;Polyarthra;0.04917248
Erk;2;6;28;11;9;10;C;3;Rotifers;Kellicottia;0.04102893
Erk;2;6;28;11;9;10;C;3;Rotifers;Keratella;0
Erk;2;6;28;11;9;10;C;3;Rotifers;Synchaeta;0
Erk;2;6;28;11;9;10;C;3;Rotifers;Monostyla;0
Erk;2;6;28;11;9;10;C;3;Rotifers;Trichocerca;0
Erk;2;6;28;11;9;10;C;3;Rotifers;Filinia;0
Erk;2;6;28;11;9;11;F;3;Copepods;Nauplii;7.70026829144473
Erk;2;6;28;11;9;11;F;3;Copepods;Copepodite;18.7926294006045
Erk;2;6;28;11;9;11;F;3;Cladocerans;Ceriodaphnia;0
Erk;2;6;28;11;9;11;F;3;Cyclopoid copepods;Thermocyclops;75.7465372695933
Erk;2;6;28;11;9;11;F;3;Cladocerans;Daphnia;0
Erk;2;6;28;11;9;11;F;3;Cyclopoid copepods;Mesocyclops;24.3006621481945
Erk;2;6;28;11;9;11;F;3;Cyclopoid copepods;Diacyclops;14.2850084451721
Erk;2;6;28;11;9;11;F;3;Calanoid copepods;Eudiaptomus;0
Erk;2;6;28;11;9;11;F;3;Cladocerans;Chydorus;0
Erk;2;6;28;11;9;11;F;3;Cladocerans;Diaphanosoma;0
Erk;2;6;28;11;9;11;F;3;Cladocerans;Small cladoceran;0
Erk;2;6;28;11;9;11;F;3;Rotifers;Polyarthra;0.39337984
Erk;2;6;28;11;9;11;F;3;Rotifers;Kellicottia;0.04102893
Erk;2;6;28;11;9;11;F;3;Rotifers;Keratella;1.33431056
Erk;2;6;28;11;9;11;F;3;Rotifers;Synchaeta;0.0912673
Erk;2;6;28;11;9;11;F;3;Rotifers;Monostyla;0
Erk;2;6;28;11;9;11;F;3;Rotifers;Trichocerca;0
Erk;2;6;28;11;9;11;F;3;Rotifers;Filinia;0
Erk;2;6;28;11;9;12;S;3;Copepods;Nauplii;19.0241922494517
Erk;2;6;28;11;9;12;S;3;Copepods;Copepodite;31.3210490010076
Erk;2;6;28;11;9;12;S;3;Cladocerans;Ceriodaphnia;7.29207092588449
Erk;2;6;28;11;9;12;S;3;Cyclopoid copepods;Thermocyclops;50.1271824983476
Erk;2;6;28;11;9;12;S;3;Cladocerans;Daphnia;74.337949988348
Erk;2;6;28;11;9;12;S;3;Cyclopoid copepods;Mesocyclops;25.3900112254765
Erk;2;6;28;11;9;12;S;3;Cyclopoid copepods;Diacyclops;0
Erk;2;6;28;11;9;12;S;3;Calanoid copepods;Eudiaptomus;164.271576124395
Erk;2;6;28;11;9;12;S;3;Cladocerans;Chydorus;0
Erk;2;6;28;11;9;12;S;3;Cladocerans;Diaphanosoma;0
Erk;2;6;28;11;9;12;S;3;Cladocerans;Small cladoceran;0
Erk;2;6;28;11;9;12;S;3;Rotifers;Polyarthra;0.14751744
Erk;2;6;28;11;9;12;S;3;Rotifers;Kellicottia;0
Erk;2;6;28;11;9;12;S;3;Rotifers;Keratella;0.12130096
Erk;2;6;28;11;9;12;S;3;Rotifers;Synchaeta;0
Erk;2;6;28;11;9;12;S;3;Rotifers;Monostyla;0
Erk;2;6;28;11;9;12;S;3;Rotifers;Trichocerca;0
Erk;2;6;28;11;9;12;S;3;Rotifers;Filinia;0
Erk;2;6;28;11;9;12;S;3;Rotifers;Lecane;0
Erk;2;6;28;11;9;13;F;4;Copepods;Nauplii;6.34139741648389
Erk;2;6;28;11;9;13;F;4;Copepods;Copepodite;6.26420980020152
Erk;2;6;28;11;9;13;F;4;Cladocerans;Ceriodaphnia;0
Erk;2;6;28;11;9;13;F;4;Cyclopoid copepods;Thermocyclops;99.5708274673146
Erk;2;6;28;11;9;13;F;4;Cladocerans;Daphnia;0
Erk;2;6;28;11;9;13;F;4;Cyclopoid copepods;Mesocyclops;96.2601958960702
Erk;2;6;28;11;9;13;F;4;Cyclopoid copepods;Diacyclops;9.27737311783865
Erk;2;6;28;11;9;13;F;4;Calanoid copepods;Eudiaptomus;98.5879739015959
Erk;2;6;28;11;9;13;F;4;Cladocerans;Chydorus;0
Erk;2;6;28;11;9;13;F;4;Cladocerans;Diaphanosoma;0
Erk;2;6;28;11;9;13;F;4;Cladocerans;Small cladoceran;0
Erk;2;6;28;11;9;13;F;4;Rotifers;Polyarthra;0.63924224
Erk;2;6;28;11;9;13;F;4;Rotifers;Kellicottia;0
Erk;2;6;28;11;9;13;F;4;Rotifers;Keratella;0.97040768
Erk;2;6;28;11;9;13;F;4;Rotifers;Synchaeta;0
Erk;2;6;28;11;9;13;F;4;Rotifers;Monostyla;0
Erk;2;6;28;11;9;13;F;4;Rotifers;Trichocerca;0
Erk;2;6;28;11;9;13;F;4;Rotifers;Filinia;0
Erk;2;6;28;11;9;13;F;4;Rotifers;Lecane;0
Erk;2;6;28;11;9;14;S;4;Copepods;Nauplii;22.6478479160139
Erk;2;6;28;11;9;14;S;4;Copepods;Copepodite;6.26420980020152
Erk;2;6;28;11;9;14;S;4;Cladocerans;Ceriodaphnia;0
Erk;2;6;28;11;9;14;S;4;Cyclopoid copepods;Thermocyclops;0
Erk;2;6;28;11;9;14;S;4;Cladocerans;Daphnia;50.6118733019955
Erk;2;6;28;11;9;14;S;4;Cyclopoid copepods;Mesocyclops;17.1694281526281
Erk;2;6;28;11;9;14;S;4;Cyclopoid copepods;Diacyclops;0
Erk;2;6;28;11;9;14;S;4;Calanoid copepods;Eudiaptomus;242.363222662432
Erk;2;6;28;11;9;14;S;4;Cladocerans;Chydorus;0
Erk;2;6;28;11;9;14;S;4;Cladocerans;Diaphanosoma;0
Erk;2;6;28;11;9;14;S;4;Cladocerans;Small cladoceran;0
Erk;2;6;28;11;9;14;S;4;Rotifers;Polyarthra;0.29503488
Erk;2;6;28;11;9;14;S;4;Rotifers;Kellicottia;0.04102893
Erk;2;6;28;11;9;14;S;4;Rotifers;Keratella;0
Erk;2;6;28;11;9;14;S;4;Rotifers;Synchaeta;0
Erk;2;6;28;11;9;14;S;4;Rotifers;Monostyla;0
Erk;2;6;28;11;9;14;S;4;Rotifers;Trichocerca;0
Erk;2;6;28;11;9;14;S;4;Rotifers;Filinia;0
Erk;2;6;28;11;9;14;S;4;Rotifers;Lecane;0
Erk;2;6;28;11;9;15;FS;4;Copepods;Nauplii;6.79435437480417
Erk;2;6;28;11;9;15;FS;4;Copepods;Copepodite;0
Erk;2;6;28;11;9;15;FS;4;Cladocerans;Ceriodaphnia;0
Erk;2;6;28;11;9;15;FS;4;Cyclopoid copepods;Thermocyclops;38.2440477089206
Erk;2;6;28;11;9;15;FS;4;Cladocerans;Daphnia;0
Erk;2;6;28;11;9;15;FS;4;Cyclopoid copepods;Mesocyclops;24.3006621481945
Erk;2;6;28;11;9;15;FS;4;Cyclopoid copepods;Diacyclops;0
Erk;2;6;28;11;9;15;FS;4;Calanoid copepods;Eudiaptomus;139.902811920591
Erk;2;6;28;11;9;15;FS;4;Cladocerans;Chydorus;0
Erk;2;6;28;11;9;15;FS;4;Cladocerans;Diaphanosoma;0
Erk;2;6;28;11;9;15;FS;4;Cladocerans;Small cladoceran;0
Erk;2;6;28;11;9;15;FS;4;Rotifers;Polyarthra;0.14751744
Erk;2;6;28;11;9;15;FS;4;Rotifers;Kellicottia;0
Erk;2;6;28;11;9;15;FS;4;Rotifers;Keratella;1.33431056
Erk;2;6;28;11;9;15;FS;4;Rotifers;Synchaeta;0.0912673
Erk;2;6;28;11;9;15;FS;4;Rotifers;Monostyla;0
Erk;2;6;28;11;9;15;FS;4;Rotifers;Trichocerca;0.2156544
Erk;2;6;28;11;9;15;FS;4;Rotifers;Filinia;0
Erk;2;6;28;11;9;15;FS;4;Rotifers;Lecane;0
Erk;2;6;28;11;9;16;C;4;Copepods;Nauplii;8.60618220808528
Erk;2;6;28;11;9;16;C;4;Copepods;Copepodite;37.5852588012091
Erk;2;6;28;11;9;16;C;4;Cladocerans;Ceriodaphnia;0
Erk;2;6;28;11;9;16;C;4;Cyclopoid copepods;Thermocyclops;39.1129257942166
Erk;2;6;28;11;9;16;C;4;Cladocerans;Daphnia;155.864501438866
Erk;2;6;28;11;9;16;C;4;Cyclopoid copepods;Mesocyclops;57.6533215553201
Erk;2;6;28;11;9;16;C;4;Cyclopoid copepods;Diacyclops;0
Erk;2;6;28;11;9;16;C;4;Calanoid copepods;Eudiaptomus;105.449504485792
Erk;2;6;28;11;9;16;C;4;Cladocerans;Chydorus;0
Erk;2;6;28;11;9;16;C;4;Cladocerans;Diaphanosoma;0
Erk;2;6;28;11;9;16;C;4;Cladocerans;Small cladoceran;0
Erk;2;6;28;11;9;16;C;4;Rotifers;Polyarthra;0.19668992
Erk;2;6;28;11;9;16;C;4;Rotifers;Kellicottia;0
Erk;2;6;28;11;9;16;C;4;Rotifers;Keratella;0
Erk;2;6;28;11;9;16;C;4;Rotifers;Synchaeta;0
Erk;2;6;28;11;9;16;C;4;Rotifers;Monostyla;0
Erk;2;6;28;11;9;16;C;4;Rotifers;Trichocerca;0
Erk;2;6;28;11;9;16;C;4;Rotifers;Filinia;0
Erk;2;6;28;11;9;16;C;4;Rotifers;Lecane;0
Erk;2;6;28;11;9;21;Lake;Lake;Copepods;Nauplii;4.98252654152306
Erk;2;6;28;11;9;21;Lake;Lake;Copepods;Copepodite;12.528419600403
Erk;2;6;28;11;9;21;Lake;Lake;Cladocerans;Ceriodaphnia;0
Erk;2;6;28;11;9;21;Lake;Lake;Cyclopoid copepods;Thermocyclops;30.5504027588742
Erk;2;6;28;11;9;21;Lake;Lake;Cladocerans;Daphnia;15.3431362399353
Erk;2;6;28;11;9;21;Lake;Lake;Cyclopoid copepods;Mesocyclops;389.162329631808
Erk;2;6;28;11;9;21;Lake;Lake;Cyclopoid copepods;Diacyclops;0
Erk;2;6;28;11;9;21;Lake;Lake;Calanoid copepods;Eudiaptomus;125.851582041017
Erk;2;6;28;11;9;21;Lake;Lake;Cladocerans;Chydorus;30.5021301962106
Erk;2;6;28;11;9;21;Lake;Lake;Cladocerans;Diaphanosoma;0
Erk;2;6;28;11;9;21;Lake;Lake;Cladocerans;Small cladoceran;0
Erk;2;6;28;11;9;21;Lake;Lake;Cladocerans;Bosmina;20.3984268048896
Erk;2;6;28;11;9;21;Lake;Lake;Rotifers;Polyarthra;0.04917248
Erk;2;6;28;11;9;21;Lake;Lake;Rotifers;Kellicottia;0
Erk;2;6;28;11;9;21;Lake;Lake;Rotifers;Keratella;0
Erk;2;6;28;11;9;21;Lake;Lake;Rotifers;Synchaeta;0
Erk;2;6;28;11;9;21;Lake;Lake;Rotifers;Monostyla;0
Erk;2;6;28;11;9;21;Lake;Lake;Rotifers;Trichocerca;0
Erk;2;6;28;11;9;21;Lake;Lake;Rotifers;Filinia;0
Erk;2;6;28;11;9;21;Lake;Lake;Rotifers;Lecane;0
Erk;2;5;21;4;9;1;C;1;Copepods;Nauplii;26.2715035825761
Erk;2;5;21;4;9;1;C;1;Copepods;Copepodite;0
Erk;2;5;21;4;9;1;C;1;Cladocerans;Ceriodaphnia;74.5498161407478
Erk;2;5;21;4;9;1;C;1;Cyclopoid copepods;Thermocyclops;67.0676162521258
Erk;2;5;21;4;9;1;C;1;Cladocerans;Daphnia;318.798643771813
Erk;2;5;21;4;9;1;C;1;Cyclopoid copepods;Mesocyclops;1543.84875269526
Erk;2;5;21;4;9;1;C;1;Cyclopoid copepods;Diacyclops;0
Erk;2;5;21;4;9;1;C;1;Calanoid copepods;Eudiaptomus;261.796511134128
Erk;2;5;21;4;9;1;C;1;Cladocerans;Chydorus;0
Erk;2;5;21;4;9;1;C;1;Cladocerans;Diaphanosoma;0
Erk;2;5;21;4;9;1;C;1;Cladocerans;Small cladoceran;0
Erk;2;5;21;4;9;1;C;1;Cladocerans;Bosmina;36.1790129989099
Erk;2;5;21;4;9;1;C;1;Rotifers;Polyarthra;0
Erk;2;5;21;4;9;1;C;1;Rotifers;Kellicottia;0
Erk;2;5;21;4;9;1;C;1;Rotifers;Keratella;0
Erk;2;5;21;4;9;1;C;1;Rotifers;Synchaeta;0
Erk;2;5;21;4;9;1;C;1;Rotifers;Monostyla;0
Erk;2;5;21;4;9;1;C;1;Rotifers;Trichocerca;0
Erk;2;5;21;4;9;1;C;1;Rotifers;Filinia;0
Erk;2;5;21;4;9;1;C;1;Rotifers;Lecane;0
Erk;2;5;21;4;9;2;F;1;Copepods;Nauplii;12.2298378746475
Erk;2;5;21;4;9;2;F;1;Copepods;Copepodite;43.8494686014106
Erk;2;5;21;4;9;2;F;1;Cladocerans;Ceriodaphnia;0
Erk;2;5;21;4;9;2;F;1;Cyclopoid copepods;Thermocyclops;134.668838020353
Erk;2;5;21;4;9;2;F;1;Cladocerans;Daphnia;0
Erk;2;5;21;4;9;2;F;1;Cyclopoid copepods;Mesocyclops;284.924287376398
Erk;2;5;21;4;9;2;F;1;Cyclopoid copepods;Diacyclops;0
Erk;2;5;21;4;9;2;F;1;Calanoid copepods;Eudiaptomus;57.3756760996511
Erk;2;5;21;4;9;2;F;1;Cladocerans;Chydorus;14.4572724976619
Erk;2;5;21;4;9;2;F;1;Cladocerans;Diaphanosoma;0
Erk;2;5;21;4;9;2;F;1;Cladocerans;Small cladoceran;0
Erk;2;5;21;4;9;2;F;1;Cladocerans;Bosmina;25.2000374455755
Erk;2;5;21;4;9;2;F;1;Rotifers;Polyarthra;0
Erk;2;5;21;4;9;2;F;1;Rotifers;Kellicottia;0
Erk;2;5;21;4;9;2;F;1;Rotifers;Keratella;0
Erk;2;5;21;4;9;2;F;1;Rotifers;Synchaeta;0
Erk;2;5;21;4;9;2;F;1;Rotifers;Monostyla;0
Erk;2;5;21;4;9;2;F;1;Rotifers;Trichocerca;0
Erk;2;5;21;4;9;2;F;1;Rotifers;Filinia;0
Erk;2;5;21;4;9;2;F;1;Rotifers;Lecane;0
Erk;2;5;21;4;9;3;S;1;Copepods;Nauplii;40.766126248825
Erk;2;5;21;4;9;3;S;1;Copepods;Copepodite;25.0568392008061
Erk;2;5;21;4;9;3;S;1;Cladocerans;Ceriodaphnia;21.871255898466
Erk;2;5;21;4;9;3;S;1;Cyclopoid copepods;Thermocyclops;191.10060003999
Erk;2;5;21;4;9;3;S;1;Cladocerans;Daphnia;47.6591663397139
Erk;2;5;21;4;9;3;S;1;Cyclopoid copepods;Mesocyclops;210.459055572872
Erk;2;5;21;4;9;3;S;1;Cyclopoid copepods;Diacyclops;13.8639283153273
Erk;2;5;21;4;9;3;S;1;Calanoid copepods;Eudiaptomus;933.558833169091
Erk;2;5;21;4;9;3;S;1;Cladocerans;Chydorus;0
Erk;2;5;21;4;9;3;S;1;Cladocerans;Diaphanosoma;0
Erk;2;5;21;4;9;3;S;1;Cladocerans;Small cladoceran;0
Erk;2;5;21;4;9;3;S;1;Cladocerans;Bosmina;9.78462136113226
Erk;2;5;21;4;9;3;S;1;Rotifers;Polyarthra;0
Erk;2;5;21;4;9;3;S;1;Rotifers;Kellicottia;0
Erk;2;5;21;4;9;3;S;1;Rotifers;Keratella;0
Erk;2;5;21;4;9;3;S;1;Rotifers;Synchaeta;0
Erk;2;5;21;4;9;3;S;1;Rotifers;Monostyla;0
Erk;2;5;21;4;9;3;S;1;Rotifers;Trichocerca;0
Erk;2;5;21;4;9;3;S;1;Rotifers;Filinia;0
Erk;2;5;21;4;9;3;S;1;Rotifers;Lecane;0
