Lake;Experiment;Sampling;Exp_day;Sampling_day;Sampling_month;Enclosure;Treatment;Replicate;Zooplankton_group;Taxa;Counts;Chamber;Volume_counted;Magnification;Mean_lenght;Abundance;Biomass;Clean_Biomass
Erk;2;6;28;11;9;3;S;1;Cladocerans;Ceriodaphnia;;25;25;40;;;;0
Erk;2;6;28;11;9;3;S;1;Cyclopoid copepods;Thermocyclops;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;3;S;1;Cladocerans;Daphnia;2;25;25;40;0,69;1,6;27,62629032;27.6262903179671
Erk;2;6;28;11;9;3;S;1;Cyclopoid copepods;Mesocyclops;1;25;25;40;0,69;0,8;23,07820594;23.0782059390526
Erk;2;6;28;11;9;3;S;1;Cyclopoid copepods;Diacyclops;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;3;S;1;Calanoid copepods;Eudiaptomus;7;25;25;40;1,09;5,6;446,3726722;446.37267222842
Erk;2;6;28;11;9;3;S;1;Cladocerans;Chydorus;;25;25;40;;;;0
Erk;2;6;28;11;9;3;S;1;Rotifers;Polyarthra;5;10;10;40;0,056;500;0,2458624;0.2458624
Erk;2;6;28;11;9;3;S;1;Rotifers;Kellicottia;;10;10;40;;;;0
Erk;2;6;28;11;9;3;S;1;Rotifers;Keratella;;10;10;40;;;;0
Erk;2;6;28;11;9;3;S;1;Rotifers;Synchaeta;;10;10;40;;;;0
Erk;2;6;28;11;9;3;S;1;Rotifers;Monostyla;;10;10;40;;;;0
Erk;2;6;28;11;9;3;S;1;Rotifers;Trichocerca;2;10;10;40;0,24;200;0,4313088;0.4313088
Erk;2;6;28;11;9;3;S;1;Rotifers;Filinia;;10;10;40;;;;0
Erk;2;6;28;11;9;4;FS;1;Copepods;Nauplii;28;25;25;40;0,152;22,4;12,68279483;12.6827948329678
Erk;2;6;28;11;9;4;FS;1;Copepods;Copepodite;3;25;25;40;0,373;2,4;18,7926294;18.7926294006045
Erk;2;6;28;11;9;4;FS;1;Cladocerans;Ceriodaphnia;;25;25;40;;;;0
Erk;2;6;28;11;9;4;FS;1;Cyclopoid copepods;Thermocyclops;9;25;25;40;0,556;7,2;123,7047101;123.704710123266
Erk;2;6;28;11;9;4;FS;1;Cladocerans;Daphnia;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;4;FS;1;Cyclopoid copepods;Mesocyclops;5;25;25;40;0,7;4;119,4454269;119.445426931051
Erk;2;6;28;11;9;4;FS;1;Cyclopoid copepods;Diacyclops;3;25;25;40;0,612;2,4;51,91452618;51.9145261773308
Erk;2;6;28;11;9;4;FS;1;Calanoid copepods;Eudiaptomus;4;25;25;40;1,056;3,2;239,1023734;239.102373393684
Erk;2;6;28;11;9;4;FS;1;Cladocerans;Chydorus;1;25;25;40;0,314;0,8;11,05741213;11.0574121305424
Erk;2;6;28;11;9;4;FS;1;Rotifers;Polyarthra;5;10;10;40;0,056;500;0,2458624;0.2458624
Erk;2;6;28;11;9;4;FS;1;Rotifers;Kellicottia;;10;10;40;;;;0
Erk;2;6;28;11;9;4;FS;1;Rotifers;Keratella;8;10;10;40;0,082;800;0,97040768;0.97040768
Erk;2;6;28;11;9;4;FS;1;Rotifers;Synchaeta;;10;10;40;;;;0
Erk;2;6;28;11;9;4;FS;1;Rotifers;Monostyla;;10;10;40;;;;0
Erk;2;6;28;11;9;4;FS;1;Rotifers;Trichocerca;;10;10;40;;;;0
Erk;2;6;28;11;9;4;FS;1;Rotifers;Filinia;;10;10;40;;;;0
Erk;2;6;28;11;9;5;S;2;Copepods;Nauplii;12;25;12,5;40;0,152;19,2;10,870967;10.8709669996867
Erk;2;6;28;11;9;5;S;2;Copepods;Copepodite;;25;12,5;40;;;#NUM!;0
Erk;2;6;28;11;9;5;S;2;Cladocerans;Ceriodaphnia;10;25;12,5;40;0,434;16;127,3310159;127.331015909929
Erk;2;6;28;11;9;5;S;2;Cyclopoid copepods;Thermocyclops;1;25;12,5;40;0,694;1,6;46,80119599;46.8011959881295
Erk;2;6;28;11;9;5;S;2;Cladocerans;Daphnia;8;25;12,5;40;0,862;12,8;415,8357041;415.83570414634
Erk;2;6;28;11;9;5;S;2;Cyclopoid copepods;Mesocyclops;4;25;12,5;40;0,69;6,4;184,6256475;184.625647512421
Erk;2;6;28;11;9;5;S;2;Cyclopoid copepods;Diacyclops;1;25;12,5;40;0,524;1,6;23,8445599;23.8445599041206
Erk;2;6;28;11;9;5;S;2;Calanoid copepods;Eudiaptomus;2;25;12,5;40;1,033;3,2;228,5989071;228.598907139054
Erk;2;6;28;11;9;5;S;2;Cladocerans;Chydorus;;25;12,5;40;;;;0
Erk;2;6;28;11;9;5;S;2;Rotifers;Polyarthra;1;10;10;40;0,056;100;0,04917248;0.04917248
Erk;2;6;28;11;9;5;S;2;Rotifers;Kellicottia;;10;10;40;;;;0
Erk;2;6;28;11;9;5;S;2;Rotifers;Keratella;1;10;10;40;0,082;100;0,12130096;0.12130096
Erk;2;6;28;11;9;5;S;2;Rotifers;Synchaeta;2;10;10;40;0,097;200;0,1825346;0.1825346
Erk;2;6;28;11;9;5;S;2;Rotifers;Monostyla;;10;10;40;;;;0
Erk;2;6;28;11;9;5;S;2;Rotifers;Trichocerca;;10;10;40;;;;0
Erk;2;6;28;11;9;5;S;2;Rotifers;Filinia;;10;10;40;;;;0
Erk;2;6;28;11;9;6;FS;2;Copepods;Nauplii;6;25;12,5;40;0,152;9,6;5,4354835;5.43548349984334
Erk;2;6;28;11;9;6;FS;2;Copepods;Copepodite;;25;12,5;40;;;#NUM!;0
Erk;2;6;28;11;9;6;FS;2;Cladocerans;Ceriodaphnia;;25;12,5;40;;;;0
Erk;2;6;28;11;9;6;FS;2;Cyclopoid copepods;Thermocyclops;4;25;12,5;40;0,528;6,4;97,13497389;97.1349738907786
Erk;2;6;28;11;9;6;FS;2;Cladocerans;Daphnia;;25;12,5;40;;;#NUM!;0
Erk;2;6;28;11;9;6;FS;2;Cyclopoid copepods;Mesocyclops;8;25;12,5;40;0,634;12,8;301,3688968;301.368896769151
Erk;2;6;28;11;9;6;FS;2;Cyclopoid copepods;Diacyclops;;25;12,5;40;;;#NUM!;0
Erk;2;6;28;11;9;6;FS;2;Calanoid copepods;Eudiaptomus;;25;12,5;40;;;#NUM!;0
Erk;2;6;28;11;9;6;FS;2;Cladocerans;Chydorus;;25;12,5;40;;;;0
Erk;2;6;28;11;9;6;FS;2;Rotifers;Polyarthra;2;10;10;40;0,056;200;0,09834496;0.09834496
Erk;2;6;28;11;9;6;FS;2;Rotifers;Kellicottia;;10;10;40;;;;0
Erk;2;6;28;11;9;6;FS;2;Rotifers;Keratella;4;10;10;40;0,082;400;0,48520384;0.48520384
Erk;2;6;28;11;9;6;FS;2;Rotifers;Synchaeta;1;10;10;40;0,097;100;0,0912673;0.0912673
Erk;2;6;28;11;9;6;FS;2;Rotifers;Monostyla;;10;10;40;;;;0
Erk;2;6;28;11;9;6;FS;2;Rotifers;Trichocerca;1;10;10;40;0,24;100;0,2156544;0.2156544
Erk;2;6;28;11;9;6;FS;2;Rotifers;Filinia;;10;10;40;;;;0
Erk;2;6;28;11;9;7;C;2;Copepods;Nauplii;22;25;25;40;0,152;17,6;9,965053083;9.96505308304612
Erk;2;6;28;11;9;7;C;2;Copepods;Copepodite;7;25;25;40;0,373;5,6;43,8494686;43.8494686014106
Erk;2;6;28;11;9;7;C;2;Cladocerans;Ceriodaphnia;1;25;25;40;0,524;0,8;11,946894;11.9468940002403
Erk;2;6;28;11;9;7;C;2;Cyclopoid copepods;Thermocyclops;7;25;25;40;0,554;5,6;95,38623391;95.3862339068167
Erk;2;6;28;11;9;7;C;2;Cladocerans;Daphnia;1;25;25;40;1,499;0,8;125,0943789;125.094378946574
Erk;2;6;28;11;9;7;C;2;Cyclopoid copepods;Mesocyclops;2;25;25;40;0,777;1,6;61,37686015;61.3768601479515
Erk;2;6;28;11;9;7;C;2;Cyclopoid copepods;Diacyclops;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;7;C;2;Calanoid copepods;Eudiaptomus;6;25;25;40;1,152;4,8;428,315519;428.315519014211
Erk;2;6;28;11;9;7;C;2;Cladocerans;Chydorus;;25;25;40;;;;0
Erk;2;6;28;11;9;7;C;2;Rotifers;Polyarthra;7;10;10;40;0,056;700;0,34420736;0.34420736
Erk;2;6;28;11;9;7;C;2;Rotifers;Kellicottia;1;10;10;40;0,111;100;0,04102893;0.04102893
Erk;2;6;28;11;9;7;C;2;Rotifers;Keratella;;10;10;40;;;;0
Erk;2;6;28;11;9;7;C;2;Rotifers;Synchaeta;1;10;10;40;0,097;100;0,0912673;0.0912673
Erk;2;6;28;11;9;7;C;2;Rotifers;Monostyla;;10;10;40;;;;0
Erk;2;6;28;11;9;7;C;2;Rotifers;Trichocerca;;10;10;40;;;;0
Erk;2;6;28;11;9;7;C;2;Rotifers;Filinia;;10;10;40;;;;0
Erk;2;6;28;11;9;8;F;2;Copepods;Nauplii;19;25;25;40;0,152;15,2;8,606182208;8.60618220808528
Erk;2;6;28;11;9;8;F;2;Copepods;Copepodite;4;25;25;40;0,373;3,2;25,0568392;25.0568392008061
Erk;2;6;28;11;9;8;F;2;Cladocerans;Ceriodaphnia;;25;25;40;;;;0
Erk;2;6;28;11;9;8;F;2;Cyclopoid copepods;Thermocyclops;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;8;F;2;Cladocerans;Daphnia;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;8;F;2;Cyclopoid copepods;Mesocyclops;5;25;25;40;0,633;4;93,82166483;93.8216648321433
Erk;2;6;28;11;9;8;F;2;Cyclopoid copepods;Diacyclops;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;8;F;2;Calanoid copepods;Eudiaptomus;3;25;25;40;0,959;2,4;147,3264472;147.326447219274
Erk;2;6;28;11;9;8;F;2;Cladocerans;Chydorus;;25;25;40;;;;0
Erk;2;6;28;11;9;8;F;2;Rotifers;Polyarthra;3;10;10;40;0,056;300;0,14751744;0.14751744
Erk;2;6;28;11;9;8;F;2;Rotifers;Kellicottia;;10;10;40;;;;0
Erk;2;6;28;11;9;8;F;2;Rotifers;Keratella;8;10;10;40;0,082;800;0,97040768;0.97040768
Erk;2;6;28;11;9;8;F;2;Rotifers;Synchaeta;;10;10;40;;;;0
Erk;2;6;28;11;9;8;F;2;Rotifers;Monostyla;;10;10;40;;;;0
Erk;2;6;28;11;9;8;F;2;Rotifers;Trichocerca;1;10;10;40;0,24;100;0,2156544;0.2156544
Erk;2;6;28;11;9;8;F;2;Rotifers;Filinia;;10;10;40;;;;0
Erk;2;6;28;11;9;9;FS;3;Copepods;Nauplii;29;25;25;40;0,152;23,2;13,13575179;13.1357517912881
Erk;2;6;28;11;9;9;FS;3;Copepods;Copepodite;5;25;25;40;0,373;4;31,321049;31.3210490010076
Erk;2;6;28;11;9;9;FS;3;Cladocerans;Ceriodaphnia;4;25;25;40;0,399;3,2;19,23082761;19.230827611523
Erk;2;6;28;11;9;9;FS;3;Cyclopoid copepods;Thermocyclops;3;25;25;40;0,636;2,4;56,93542397;56.935423970592
Erk;2;6;28;11;9;9;FS;3;Cladocerans;Daphnia;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;9;FS;3;Cyclopoid copepods;Mesocyclops;4;25;25;40;0,63;3,2;74,20642968;74.2064296784836
Erk;2;6;28;11;9;9;FS;3;Cyclopoid copepods;Diacyclops;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;9;FS;3;Calanoid copepods;Eudiaptomus;3;25;25;40;1,167;2,4;219,884848;219.884847988903
Erk;2;6;28;11;9;9;FS;3;Cladocerans;Chydorus;;25;25;40;;;;0
Erk;2;6;28;11;9;9;FS;3;Cladocerans;Diaphanosoma;1;25;25;40;0,391;0,8;2,313327158;2.31332715788014
Erk;2;6;28;11;9;9;FS;3;Rotifers;Polyarthra;5;10;10;40;0,056;500;0,2458624;0.2458624
Erk;2;6;28;11;9;9;FS;3;Rotifers;Kellicottia;;10;10;40;;;;0
Erk;2;6;28;11;9;9;FS;3;Rotifers;Keratella;2;10;10;40;0,082;200;0,24260192;0.24260192
Erk;2;6;28;11;9;9;FS;3;Rotifers;Synchaeta;2;10;10;40;0,097;200;0,1825346;0.1825346
Erk;2;6;28;11;9;9;FS;3;Rotifers;Monostyla;;10;10;40;;;;0
Erk;2;6;28;11;9;9;FS;3;Rotifers;Trichocerca;;10;10;40;;;;0
Erk;2;6;28;11;9;9;FS;3;Rotifers;Filinia;;10;10;40;;;;0
Erk;2;6;28;11;9;10;C;3;Copepods;Nauplii;43;25;25;40;0,152;34,4;19,47714921;19.477149207772
Erk;2;6;28;11;9;10;C;3;Copepods;Copepodite;4;25;25;40;0,373;3,2;25,0568392;25.0568392008061
Erk;2;6;28;11;9;10;C;3;Cladocerans;Ceriodaphnia;2;25;25;40;0,355;1,6;6,508504459;6.50850445927896
Erk;2;6;28;11;9;10;C;3;Cyclopoid copepods;Thermocyclops;3;25;25;40;0,666;2,4;63,59509661;63.5950966125991
Erk;2;6;28;11;9;10;C;3;Cladocerans;Daphnia;5;25;25;40;1,055;4;230,6578012;230.657801219061
Erk;2;6;28;11;9;10;C;3;Cyclopoid copepods;Mesocyclops;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;10;C;3;Cyclopoid copepods;Diacyclops;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;10;C;3;Calanoid copepods;Eudiaptomus;2;25;25;40;1,14;1,6;139,7543694;139.754369423836
Erk;2;6;28;11;9;10;C;3;Cladocerans;Chydorus;;25;25;40;;;;0
Erk;2;6;28;11;9;10;C;3;Cladocerans;Diaphanosoma;;25;25;40;;;;0
Erk;2;6;28;11;9;10;C;3;Cladocerans;Small cladoceran;1;25;25;40;0,32;0,8;11,84610285;11.8461028505434
Erk;2;6;28;11;9;10;C;3;Rotifers;Polyarthra;1;10;10;40;0,056;100;0,04917248;0.04917248
Erk;2;6;28;11;9;10;C;3;Rotifers;Kellicottia;1;10;10;40;0,111;100;0,04102893;0.04102893
Erk;2;6;28;11;9;10;C;3;Rotifers;Keratella;;10;10;40;;;;0
Erk;2;6;28;11;9;10;C;3;Rotifers;Synchaeta;;10;10;40;;;;0
Erk;2;6;28;11;9;10;C;3;Rotifers;Monostyla;;10;10;40;;;;0
Erk;2;6;28;11;9;10;C;3;Rotifers;Trichocerca;;10;10;40;;;;0
Erk;2;6;28;11;9;10;C;3;Rotifers;Filinia;;10;10;40;;;;0
Erk;2;6;28;11;9;11;F;3;Copepods;Nauplii;17;25;25;40;0,152;13,6;7,700268291;7.70026829144473
Erk;2;6;28;11;9;11;F;3;Copepods;Copepodite;3;25;25;40;0,373;2,4;18,7926294;18.7926294006045
Erk;2;6;28;11;9;11;F;3;Cladocerans;Ceriodaphnia;;25;25;40;;;;0
Erk;2;6;28;11;9;11;F;3;Cyclopoid copepods;Thermocyclops;5;25;25;40;0,579;4;75,74653727;75.7465372695933
Erk;2;6;28;11;9;11;F;3;Cladocerans;Daphnia;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;11;F;3;Cyclopoid copepods;Mesocyclops;1;25;25;40;0,705;0,8;24,30066215;24.3006621481945
Erk;2;6;28;11;9;11;F;3;Cyclopoid copepods;Diacyclops;1;25;25;40;0,565;0,8;14,28500845;14.2850084451721
Erk;2;6;28;11;9;11;F;3;Calanoid copepods;Eudiaptomus;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;11;F;3;Cladocerans;Chydorus;;25;25;40;;;;0
Erk;2;6;28;11;9;11;F;3;Cladocerans;Diaphanosoma;;25;25;40;;;;0
Erk;2;6;28;11;9;11;F;3;Cladocerans;Small cladoceran;;25;25;40;;;;0
Erk;2;6;28;11;9;11;F;3;Rotifers;Polyarthra;8;10;10;40;0,056;800;0,39337984;0.39337984
Erk;2;6;28;11;9;11;F;3;Rotifers;Kellicottia;1;10;10;40;0,111;100;0,04102893;0.04102893
Erk;2;6;28;11;9;11;F;3;Rotifers;Keratella;11;10;10;40;0,082;1100;1,33431056;1.33431056
Erk;2;6;28;11;9;11;F;3;Rotifers;Synchaeta;1;10;10;40;0,097;100;0,0912673;0.0912673
Erk;2;6;28;11;9;11;F;3;Rotifers;Monostyla;;10;10;40;;;;0
Erk;2;6;28;11;9;11;F;3;Rotifers;Trichocerca;;10;10;40;;;;0
Erk;2;6;28;11;9;11;F;3;Rotifers;Filinia;;10;10;40;;;;0
Erk;2;6;28;11;9;12;S;3;Copepods;Nauplii;42;25;25;40;0,152;33,6;19,02419225;19.0241922494517
Erk;2;6;28;11;9;12;S;3;Copepods;Copepodite;5;25;25;40;0,373;4;31,321049;31.3210490010076
Erk;2;6;28;11;9;12;S;3;Cladocerans;Ceriodaphnia;1;25;25;40;0,452;0,8;7,292070926;7.29207092588449
Erk;2;6;28;11;9;12;S;3;Cyclopoid copepods;Thermocyclops;4;25;25;40;0,535;3,2;50,1271825;50.1271824983476
Erk;2;6;28;11;9;12;S;3;Cladocerans;Daphnia;1;25;25;40;1,248;0,8;74,33794999;74.337949988348
Erk;2;6;28;11;9;12;S;3;Cyclopoid copepods;Mesocyclops;1;25;25;40;0,718;0,8;25,39001123;25.3900112254765
Erk;2;6;28;11;9;12;S;3;Cyclopoid copepods;Diacyclops;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;12;S;3;Calanoid copepods;Eudiaptomus;2;25;25;40;1,234;1,6;164,2715761;164.271576124395
Erk;2;6;28;11;9;12;S;3;Cladocerans;Chydorus;;25;25;40;;;;0
Erk;2;6;28;11;9;12;S;3;Cladocerans;Diaphanosoma;;25;25;40;;;;0
Erk;2;6;28;11;9;12;S;3;Cladocerans;Small cladoceran;;25;25;40;;;;0
Erk;2;6;28;11;9;12;S;3;Rotifers;Polyarthra;3;10;10;40;0,056;300;0,14751744;0.14751744
Erk;2;6;28;11;9;12;S;3;Rotifers;Kellicottia;;10;10;40;;;;0
Erk;2;6;28;11;9;12;S;3;Rotifers;Keratella;1;10;10;40;0,082;100;0,12130096;0.12130096
Erk;2;6;28;11;9;12;S;3;Rotifers;Synchaeta;;10;10;40;;;;0
Erk;2;6;28;11;9;12;S;3;Rotifers;Monostyla;;10;10;40;;;;0
Erk;2;6;28;11;9;12;S;3;Rotifers;Trichocerca;;10;10;40;;;;0
Erk;2;6;28;11;9;12;S;3;Rotifers;Filinia;;10;10;40;;;;0
Erk;2;6;28;11;9;12;S;3;Rotifers;Lecane;2;10;10;40;0,085;200;;0
Erk;2;6;28;11;9;13;F;4;Copepods;Nauplii;14;25;25;40;0,152;11,2;6,341397416;6.34139741648389
Erk;2;6;28;11;9;13;F;4;Copepods;Copepodite;1;25;25;40;0,373;0,8;6,2642098;6.26420980020152
Erk;2;6;28;11;9;13;F;4;Cladocerans;Ceriodaphnia;;25;25;40;;;;0
Erk;2;6;28;11;9;13;F;4;Cyclopoid copepods;Thermocyclops;7;25;25;40;0,564;5,6;99,57082747;99.5708274673146
Erk;2;6;28;11;9;13;F;4;Cladocerans;Daphnia;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;13;F;4;Cyclopoid copepods;Mesocyclops;6;25;25;40;0,593;4,8;96,2601959;96.2601958960702
Erk;2;6;28;11;9;13;F;4;Cyclopoid copepods;Diacyclops;1;25;25;40;0,472;0,8;9,277373118;9.27737311783865
Erk;2;6;28;11;9;13;F;4;Calanoid copepods;Eudiaptomus;4;25;25;40;0,684;3,2;98,5879739;98.5879739015959
Erk;2;6;28;11;9;13;F;4;Cladocerans;Chydorus;;25;25;40;;;;0
Erk;2;6;28;11;9;13;F;4;Cladocerans;Diaphanosoma;;25;25;40;;;;0
Erk;2;6;28;11;9;13;F;4;Cladocerans;Small cladoceran;;25;25;40;;;;0
Erk;2;6;28;11;9;13;F;4;Rotifers;Polyarthra;13;10;10;40;0,056;1300;0,63924224;0.63924224
Erk;2;6;28;11;9;13;F;4;Rotifers;Kellicottia;;10;10;40;;;;0
Erk;2;6;28;11;9;13;F;4;Rotifers;Keratella;8;10;10;40;0,082;800;0,97040768;0.97040768
Erk;2;6;28;11;9;13;F;4;Rotifers;Synchaeta;;10;10;40;;;;0
Erk;2;6;28;11;9;13;F;4;Rotifers;Monostyla;;10;10;40;;;;0
Erk;2;6;28;11;9;13;F;4;Rotifers;Trichocerca;;10;10;40;;;;0
Erk;2;6;28;11;9;13;F;4;Rotifers;Filinia;;10;10;40;;;;0
Erk;2;6;28;11;9;13;F;4;Rotifers;Lecane;;10;10;40;;;;0
Erk;2;6;28;11;9;14;S;4;Copepods;Nauplii;50;25;25;40;0,152;40;22,64784792;22.6478479160139
Erk;2;6;28;11;9;14;S;4;Copepods;Copepodite;1;25;25;40;0,373;0,8;6,2642098;6.26420980020152
Erk;2;6;28;11;9;14;S;4;Cladocerans;Ceriodaphnia;;25;25;40;;;;0
Erk;2;6;28;11;9;14;S;4;Cyclopoid copepods;Thermocyclops;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;14;S;4;Cladocerans;Daphnia;1;25;25;40;1,09;0,8;50,6118733;50.6118733019955
Erk;2;6;28;11;9;14;S;4;Cyclopoid copepods;Mesocyclops;1;25;25;40;0,61;0,8;17,16942815;17.1694281526281
Erk;2;6;28;11;9;14;S;4;Cyclopoid copepods;Diacyclops;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;14;S;4;Calanoid copepods;Eudiaptomus;7;25;25;40;0,808;5,6;242,3632227;242.363222662432
Erk;2;6;28;11;9;14;S;4;Cladocerans;Chydorus;;25;25;40;;;;0
Erk;2;6;28;11;9;14;S;4;Cladocerans;Diaphanosoma;;25;25;40;;;;0
Erk;2;6;28;11;9;14;S;4;Cladocerans;Small cladoceran;;25;25;40;;;;0
Erk;2;6;28;11;9;14;S;4;Rotifers;Polyarthra;6;10;10;40;0,056;600;0,29503488;0.29503488
Erk;2;6;28;11;9;14;S;4;Rotifers;Kellicottia;1;10;10;40;0,111;100;0,04102893;0.04102893
Erk;2;6;28;11;9;14;S;4;Rotifers;Keratella;;10;10;40;;;;0
Erk;2;6;28;11;9;14;S;4;Rotifers;Synchaeta;;10;10;40;;;;0
Erk;2;6;28;11;9;14;S;4;Rotifers;Monostyla;;10;10;40;;;;0
Erk;2;6;28;11;9;14;S;4;Rotifers;Trichocerca;;10;10;40;;;;0
Erk;2;6;28;11;9;14;S;4;Rotifers;Filinia;;10;10;40;;;;0
Erk;2;6;28;11;9;14;S;4;Rotifers;Lecane;;10;10;40;;;;0
Erk;2;6;28;11;9;15;FS;4;Copepods;Nauplii;15;25;25;40;0,152;12;6,794354375;6.79435437480417
Erk;2;6;28;11;9;15;FS;4;Copepods;Copepodite;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;15;FS;4;Cladocerans;Ceriodaphnia;;25;25;40;;;;0
Erk;2;6;28;11;9;15;FS;4;Cyclopoid copepods;Thermocyclops;2;25;25;40;0,638;1,6;38,24404771;38.2440477089206
Erk;2;6;28;11;9;15;FS;4;Cladocerans;Daphnia;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;15;FS;4;Cyclopoid copepods;Mesocyclops;1;25;25;40;0,705;0,8;24,30066215;24.3006621481945
Erk;2;6;28;11;9;15;FS;4;Cyclopoid copepods;Diacyclops;;25;25;40;;;#NUM!;0
Erk;2;6;28;11;9;15;FS;4;Calanoid copepods;Eudiaptomus;3;25;25;40;0,935;2,4;139,9028119;139.902811920591
Erk;2;6;28;11;9;15;FS;4;Cladocerans;Chydorus;;25;25;40;;;;0
Erk;2;6;28;11;9;15;FS;4;Cladocerans;Diaphanosoma;;25;25;40;;;;0
Erk;2;6;28;11;9;15;FS;4;Cladocerans;Small cladoceran;;25;25;40;;;;0
